Feature,Coefficient
age,-0.3687488725584797
head_motion,-0.17931634586851053
IC1-IC2,0.0
IC1-IC3,0.029336473142659403
IC1-IC4,-0.0
IC1-IC5,0.0
IC1-IC6,-0.004326094380053284
IC1-IC7,0.0
IC1-IC8,-0.011374441761235855
IC1-IC9,-0.0
IC1-IC10,-0.01567807555734614
IC1-IC11,-0.00034518558586383777
IC1-IC12,-0.005989736223023413
IC1-IC13,-0.01909024111562419
IC1-IC14,-0.07317137482560229
IC1-IC15,-0.010006679699899773
IC1-IC16,-0.033090607620321295
IC1-IC17,-0.0
IC1-IC18,0.05511355614159119
IC1-IC19,0.08424233948516573
IC1-IC20,0.023679522423965718
IC1-IC21,-0.006570701079377459
IC2-IC3,0.05438437862996752
IC2-IC4,-0.0033605523816706622
IC2-IC5,0.014762401001436266
IC2-IC6,-0.02068915010748903
IC2-IC7,-0.005799949014496083
IC2-IC8,-0.025776636517167564
IC2-IC9,0.004613480440953334
IC2-IC10,0.0
IC2-IC11,0.03468846721957576
IC2-IC12,0.04751659042667297
IC2-IC13,0.019898200054390733
IC2-IC14,-0.013874928476993308
IC2-IC15,-0.07363411885654424
IC2-IC16,-0.02232682213453451
IC2-IC17,0.04643762423287909
IC2-IC18,-0.014979324252100353
IC2-IC19,-0.014365590463690974
IC2-IC20,0.0
IC2-IC21,0.01489756455258049
IC3-IC4,0.020791911511277933
IC3-IC5,-0.002971549569537901
IC3-IC6,0.015336893567358097
IC3-IC7,0.03081272681044087
IC3-IC8,0.037680661531181964
IC3-IC9,0.049177966258904915
IC3-IC10,-0.0024609644099445054
IC3-IC11,0.018943615647215053
IC3-IC12,0.03182033090841321
IC3-IC13,0.00025980039895366516
IC3-IC14,0.05302998715574394
IC3-IC15,0.0007676254838022015
IC3-IC16,-0.0037992999975846957
IC3-IC17,-0.021052613321699293
IC3-IC18,0.0
IC3-IC19,0.015570778001960758
IC3-IC20,0.0
IC3-IC21,0.0010523971993721994
IC4-IC5,-0.0489289125682844
IC4-IC6,-0.010716109878433386
IC4-IC7,-0.0
IC4-IC8,0.031446458912877236
IC4-IC9,-0.0006294887246203686
IC4-IC10,-0.014882631282956436
IC4-IC11,0.005819195778932488
IC4-IC12,-0.0
IC4-IC13,0.008687181307247228
IC4-IC14,0.0
IC4-IC15,0.024262283250358663
IC4-IC16,-0.10154780945184641
IC4-IC17,-0.0
IC4-IC18,0.010715885090313617
IC4-IC19,0.0
IC4-IC20,0.013291488537534165
IC4-IC21,-0.0
IC5-IC6,-0.05464396544888367
IC5-IC7,0.018183381746046366
IC5-IC8,-0.0
IC5-IC9,-0.0
IC5-IC10,-0.019749054886758762
IC5-IC11,0.0
IC5-IC12,0.017544940032900108
IC5-IC13,-0.0
IC5-IC14,-0.0
IC5-IC15,-0.01657312726286413
IC5-IC16,0.0
IC5-IC17,-0.003185835464830449
IC5-IC18,-0.014506167451586212
IC5-IC19,0.032498635108824475
IC5-IC20,-0.026333515148581697
IC5-IC21,-0.01695796815365981
IC6-IC7,0.0263179890756845
IC6-IC8,0.05410639461807994
IC6-IC9,-0.0061131579743932815
IC6-IC10,-0.0
IC6-IC11,0.0
IC6-IC12,0.015415138938757589
IC6-IC13,-0.045477551069794245
IC6-IC14,0.0029175322154149264
IC6-IC15,-0.010638579559311037
IC6-IC16,-0.026721845347137552
IC6-IC17,0.0
IC6-IC18,0.0
IC6-IC19,0.00974918585160359
IC6-IC20,-0.021253538104634203
IC6-IC21,-0.0058510110192715285
IC7-IC8,0.0735337599565313
IC7-IC9,0.038470303476762904
IC7-IC10,-0.004572518765096063
IC7-IC11,-0.03206279208556698
IC7-IC12,0.042480053703239866
IC7-IC13,-0.03449562912277265
IC7-IC14,0.0
IC7-IC15,0.014556406348556337
IC7-IC16,-0.0310959982620038
IC7-IC17,-0.02661548966841989
IC7-IC18,0.04241739650997603
IC7-IC19,-0.021036087403193772
IC7-IC20,-0.050179248867123556
IC7-IC21,-0.0
IC8-IC9,0.0
IC8-IC10,0.0
IC8-IC11,-0.04381992402039357
IC8-IC12,-0.026764682544116066
IC8-IC13,-0.017474686886972034
IC8-IC14,-0.025098032185331062
IC8-IC15,0.05897907560702028
IC8-IC16,-0.020063383371368607
IC8-IC17,0.0011624630542347997
IC8-IC18,-0.023775176993460212
IC8-IC19,-0.0046146186955800285
IC8-IC20,-0.008246082862454577
IC8-IC21,-0.002673735800400597
IC9-IC10,0.03852483199841024
IC9-IC11,0.0
IC9-IC12,0.028560461234326123
IC9-IC13,-0.003614661115305229
IC9-IC14,-0.028771490666443415
IC9-IC15,0.0029197385338596196
IC9-IC16,-0.0
IC9-IC17,-0.013440474704429937
IC9-IC18,-0.0
IC9-IC19,-0.0
IC9-IC20,-0.00841325840750524
IC9-IC21,-0.0
IC10-IC11,0.0
IC10-IC12,-0.07291078800692803
IC10-IC13,0.03085667437414783
IC10-IC14,0.0
IC10-IC15,-0.044268879966117294
IC10-IC16,0.0004221710536756815
IC10-IC17,-0.0
IC10-IC18,0.007258378806565247
IC10-IC19,0.047158764023587825
IC10-IC20,0.0017757366260077062
IC10-IC21,-0.020005817941175275
IC11-IC12,0.003952940931052512
IC11-IC13,0.0
IC11-IC14,0.006555618303568167
IC11-IC15,0.03902739348564337
IC11-IC16,-0.01531194244286237
IC11-IC17,-0.0
IC11-IC18,-0.0364612360641834
IC11-IC19,-0.031058415252690447
IC11-IC20,0.0162313452592421
IC11-IC21,0.0
IC12-IC13,0.0
IC12-IC14,0.008511799098410742
IC12-IC15,0.018193953632050962
IC12-IC16,-0.005525864157191052
IC12-IC17,-0.0
IC12-IC18,-0.0
IC12-IC19,-0.006642785545378382
IC12-IC20,-0.009383865527403612
IC12-IC21,-0.0
IC13-IC14,-0.022136068228505276
IC13-IC15,-0.047046932263119165
IC13-IC16,-0.09063898649789164
IC13-IC17,-0.0
IC13-IC18,-0.025531668433573785
IC13-IC19,-0.10342798584422758
IC13-IC20,-0.03228099917463435
IC13-IC21,0.0
IC14-IC15,-0.00167022880792606
IC14-IC16,0.01375882053128559
IC14-IC17,0.0711788866560704
IC14-IC18,0.002132464631963422
IC14-IC19,0.030095503160541288
IC14-IC20,0.006582174948894674
IC14-IC21,-0.0052857561321544375
IC15-IC16,-0.020764925228496968
IC15-IC17,0.06698583968364218
IC15-IC18,-0.00879144329434881
IC15-IC19,-0.036052282595205855
IC15-IC20,0.0
IC15-IC21,0.07706152425002354
IC16-IC17,-0.11526410428441235
IC16-IC18,0.0
IC16-IC19,0.035788554178989
IC16-IC20,0.0
IC16-IC21,0.0
IC17-IC18,0.012271935625450196
IC17-IC19,-0.00747706340286684
IC17-IC20,-0.03632353531449953
IC17-IC21,0.0723543567792499
IC18-IC19,-0.0284069208137795
IC18-IC20,0.01736879489425321
IC18-IC21,-0.0
IC19-IC20,-0.0030445162685792527
IC19-IC21,0.021488795979341155
IC20-IC21,-0.006932974018965812
sex_1,-0.8086483422251215
assessment_centre_11026,0.06474135101610809
assessment_centre_11027,0.16360010307057937
