,Component_1,Component_2,Component_3
age,-0.1722723475677412,0.32799074510090337,-0.024287967900828062
lh_bankssts,0.14297103427166313,-0.08790822002049868,0.11498299039603839
lh_caudalanteriorcingulate,0.09370466168670519,-0.05306720242620556,-0.16538542566271808
lh_caudalmiddlefrontal,0.09965480631563559,0.09524633851238977,-0.017959421981482336
lh_cuneus,0.0310613322574434,0.16147191417209078,0.3064419936964787
lh_entorhinal,0.04000231823639953,0.05944456728826189,-0.014988777399807626
lh_fusiform,0.1629530316507429,-0.03597563848845916,-0.02981636233572681
lh_inferiorparietal,0.16278295014326805,0.05506226808881347,-0.06776891776659115
lh_inferiortemporal,0.19178462471209473,-0.08672586285656193,-0.019060084644569986
lh_isthmuscingulate,0.0026840292792005144,0.18491273817922885,-0.08992921562360608
lh_lateraloccipital,0.06497310931626826,0.16024900464456007,0.17996778710248604
lh_lateralorbitofrontal,0.18803541795038292,-0.07287559598975592,0.08288805789430706
lh_lingual,0.02035430793590501,0.2067135788190132,0.1614991836677629
lh_medialorbitofrontal,0.1300797380561402,0.03321613922015021,-0.08665978829246489
lh_middletemporal,0.13008335998008352,0.050848778002415516,-0.11820790262724659
lh_parahippocampal,0.07745164396437342,0.023473804906530935,-0.07053392032178943
lh_paracentral,0.12524638094466883,0.04034477957090624,0.008265756359255888
lh_parsopercularis,0.09926695953203804,0.08160521614851869,-0.03632787494989483
lh_parsorbitalis,0.11371829770272938,0.05102292101089361,-0.12115770086509894
lh_parstriangularis,0.12399225061256317,0.03660734912111124,-0.04970219533808572
lh_pericalcarine,-0.019555615504224452,0.2064190900593236,0.15863905695905298
lh_postcentral,0.08973397240755762,0.09816012855628267,0.09225904957063476
lh_posteriorcingulate,0.10867630872344863,0.005987596682600533,-0.16030452980352164
lh_precentral,0.10238503040023784,0.12933964005325801,-0.0568987906735292
lh_precuneus,0.14845426579937193,0.08767326672005006,-0.030336012796263787
lh_rostralanteriorcingulate,0.19880775921383448,-0.17477710972499086,0.06074863180257711
lh_rostralmiddlefrontal,0.1592278210340173,0.06634591659563387,-0.01833900707412
lh_superiorfrontal,0.13469392042165282,0.061137464576727335,0.12688233258701942
lh_superiorparietal,0.022171571994174015,0.2527160912738203,-0.07478548537741683
lh_superiortemporal,0.09409844067508928,0.11596231965670437,-0.10003726977569044
lh_supramarginal,0.17422213798597744,-0.005827257095625633,0.028381775742613007
lh_frontalpole,0.11828368895005485,-0.05054460143050333,0.13611686147139235
lh_temporalpole,0.019816279418714933,0.12802441343098134,-0.06163655611812896
lh_transversetemporal,0.13757878426536257,-0.07215591762159096,0.10164705314742756
lh_insula,0.054088658593037735,0.07252827396864028,-0.06655494407877503
rh_bankssts,0.09914457985370921,-0.02149775877933995,0.03489850289564342
rh_caudalanteriorcingulate,0.04926513304119067,0.05131913712244297,-0.2414427995368009
rh_caudalmiddlefrontal,0.09881310700427429,0.10734825367359344,-0.05994441240118671
rh_cuneus,0.01693439655786965,0.16498231813724767,0.3820626172719781
rh_entorhinal,0.058814539743662846,0.02397642757993835,0.04449566192360107
rh_fusiform,0.14202529972354408,0.0023521652991742178,-0.09429375088311377
rh_inferiorparietal,0.19189021905319883,0.013133147937556452,-0.0006709182453382332
rh_inferiortemporal,0.1740159767869785,-0.02872254536681813,-0.09279339482953329
rh_isthmuscingulate,0.0064791067084190215,0.1704080651578077,-0.025906316319056027
rh_lateraloccipital,0.06904185674528096,0.16601069345872488,0.1690946502932934
rh_lateralorbitofrontal,0.17210952778496086,-0.035820849874541615,0.0021003328905641926
rh_lingual,-0.012716066144047796,0.2610012359470996,0.15069613789877484
rh_medialorbitofrontal,0.16539140333139732,-0.012825170931298391,-0.040364647636048
rh_middletemporal,0.15773328402086068,-0.00021139314136951374,-0.06151195920763869
rh_parahippocampal,0.09496920570935051,-0.007001305086333735,-0.015331518168171345
rh_paracentral,0.14233063421933706,0.003979865605793277,0.05137302411811084
rh_parsopercularis,0.08133155470393501,0.09603196023184207,-0.10923934377080276
rh_parsorbitalis,0.13255064971701405,0.020908317728704773,-0.07708193623483961
rh_parstriangularis,0.1082107311981403,0.06973697061194434,-0.08007290383981558
rh_pericalcarine,-0.040493427978202115,0.2175048017881293,0.21291367309674059
rh_postcentral,0.06262748481167975,0.13073537705073962,0.020469256387599877
rh_posteriorcingulate,0.0790335870026115,0.04086662658523571,-0.1603225694689386
rh_precentral,0.10639460462775631,0.1258722746828618,-0.06225408119696303
rh_precuneus,0.15025664432970928,0.07793650086937226,0.030519450436741206
rh_rostralanteriorcingulate,0.18325444154002699,-0.17631377797636855,0.055344601058818804
rh_rostralmiddlefrontal,0.1416563922228845,0.08975601885326402,0.006223191243554327
rh_superiorfrontal,0.16488639113939832,0.011220956808188989,0.14425191179986488
rh_superiorparietal,0.010738344473460329,0.2759411359718236,-0.11371456090896294
rh_superiortemporal,0.0829023494511273,0.12863433948398378,-0.13617951066519865
rh_supramarginal,0.15358074321799797,0.040251870583469115,-0.0757508756168839
rh_frontalpole,0.14349104233524418,-0.08966499310300984,0.17734134995524947
rh_temporalpole,0.01166440974095006,0.13439684914380143,-0.048801640015203235
rh_transversetemporal,0.13105257319044084,-0.06731658783423133,0.023013215883178752
rh_insula,0.08835386072033091,0.010302289096444997,0.027173187347112753
sex_1,0.12784917620669634,-0.09780135701314004,0.2322805289918867
assessment_centre_11026,-0.019576008412184934,0.03808010578235686,-0.10667039290492229
assessment_centre_11027,-0.09364354719407998,0.19321760901944163,-0.2281021432108212
